Name,Type,Country,City,Website,Check Size / AUM,Focus / Description,Contact / Notes
Pacific Lake Partners,Institutional Fund,USA,Boston MA,https://www.pacificlake.com,"$750M+ AUM, Fund IV $175M","First search fund (1984 origins). 100+ entrepreneurs backed. Co-founded by Jim Southern (launched first search fund in 1984) and Coley Andrews. 150+ search funds worked with.",info@pacificlake.com
Search Fund Partners (SFP),Institutional Fund,USA,Menlo Park CA,https://www.searchfunds.net,"$5M-$30M revenue targets, 202 investments","Founded 2004 as first PE fund dedicated to search funds. 86 exits. Led by ex-searchers. Bespoke and craftsman approach.",
Relay Investments,Institutional Fund,USA,Boston MA,https://www.relayinvestments.com,"15-25% of search cap table, $1M-$3.5M equity","Founded 2013 by Sandro Mina. 22-person team, 12 partners. 33 acquisitions. Industry agnostic, $1-3M EBITDA range. One of largest globally. US + international.",
Anacapa Partners,Institutional Fund,USA,San Mateo CA,https://anacapapartners.com,"175 individuals/partnerships, 60+ operating companies","Founded 2010 by Jeff Stevens. Focus on predictable revenue models. B2B, B2C, energy, financial services, IT, SaaS sectors.",
Broadtree Partners,PE / Accelerator,USA,Charlotte NC,https://broadtreepartners.com,"$3M-$10M EBITDA, $1-10M EBITDA","Founded 2016. 10+ acquisitions. Embeds operators in portfolio companies. Inc.'s 2024 Founder Friendly Investors list. Service and manufacturing sectors.",
Peterson Partners,Institutional Fund,USA,Salt Lake City UT,https://www.petersonpartners.com,"$500K-$5M checks, $2M-$20M EBITDA targets","Founded 2003 by Joel Peterson (Stanford GSB professor). 200+ companies. Dedicated 9-person search fund team. Software, business services, healthcare.",
WSC & Company,Institutional Fund,USA,Charlotte NC,https://wscandcompany.com,"90+ investments","Founded 2012. First full-time SF investment firm in SE US. Family-owned businesses focus. On-Deck program for professionals.",
ETA Equity,Institutional Fund,USA,Dallas TX,https://etaequity.com,"90+ search funds, 30+ acquired businesses","Founded 2020 by Matt Zucker & Mark Sinatra (both Wharton MBAs). Early engagement in deal sourcing and evaluation.",
Red Forest Capital,Family Office,USA,,https://www.redforestcapital.com,"300+ search fund investments","Investing since 1984. One of original SF investors. Burr family legacy tied to origins of model. Proprietary training materials, board participation.",
The Cambria Group,PE Fund,USA,,https://cambriagroup.com,"200+ traditional search funds backed, 110+ acquired businesses, ~20 boards","Early in model's history. Principals have extensive search fund experience. Sound businesses with operating histories.",
Futaleufu Partners,Institutional Fund,USA,,https://futaleufu-partners.com,"$1M-$5M EBITDA targets","Founded by David Dodson (Stanford GSB faculty). Wrote original search fund course material. Raised first search fund in 1989. Mentorship-focused.",
The Nashton Company,Holding Company,USA,,https://nashton.com,,"Recurring revenue services businesses. Niche market focus. Long-term hold. Execution-focused.",
Housatonic Partners,PE Fund,USA,,https://housatonicpartners.com,"100+ search funds over 20 years","Managing Directors helped pioneer search fund community. Broad ETA experience. Tech and services focus.",
